Artwork,Medium,Culture,Period,Provenance,Image Location,War-Gear,Context,Wielder,Description 1,Description 2,Description 3,Description 4,Held 1,Held 2,Notes
"Oxford, Bodleian Library MS Junius 11 (S.C. 5123): Cædmon or Junius Manuscript (Parts of Genesis, Exodus and Daniel in Old English verse)",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Page 82,Spear,P (H),Man,SLS,BB,n/a,n/a,L,Up,
"Oxford, Bodleian Library MS Junius 11 (S.C. 5123): Cædmon or Junius Manuscript (Parts of Genesis, Exodus and Daniel in Old English verse)",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Page 82,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"Oxford, Bodleian Library MS Junius 11 (S.C. 5123): Cædmon or Junius Manuscript (Parts of Genesis, Exodus and Daniel in Old English verse)",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Page 82,Spear,P (H),Xtn (BF),SLS,BB,Lug,n/a,R,Up,More detailed than others
"Oxford, Bodleian Library MS Junius 11 (S.C. 5123): Cædmon or Junius Manuscript (Parts of Genesis, Exodus and Daniel in Old English verse)",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Page 84,Spear,P (H),Xtn (BF),SLS,LB,Lug,n/a,L,Up,More detailed than others
"Oxford, Bodleian Library MS Junius 11 (S.C. 5123): Cædmon or Junius Manuscript (Parts of Genesis, Exodus and Daniel in Old English verse)",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Page 84,Spear,P (H),Man,SLS,BB,n/a,n/a,R,Up,
"Oxford, Bodleian Library MS Junius 11 (S.C. 5123): Cædmon or Junius Manuscript (Parts of Genesis, Exodus and Daniel in Old English verse)",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Page 88,Spear,P (H),Xtn (BF),SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Cotton Julius A.VI: Calendar; Hymnal",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church",Folio 4v,Spear,P (H),Wk (G),ThS,LozB,Lug,n/a,L,Up,Large proportion
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,V,Xtn (A),SLS,n/v,n/a,n/a,R,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,V,Xtn (A),SLS,n/v,n/a,n/a,R,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,V,None,SLS,BB,Lug,n/a,n/a,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,V,None,SLS,BB,Lug,n/a,n/a,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,V,W,SLS,BB,Lug,n/a,L,Up,Broken
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),W,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2,Spear,P (H),El (R),SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Arundel 155, fols. 1-135, 171-191: Eadui or Arundel Psalter, Calendar etc.",Illuminated Manuscript,Anglo-Saxon,1000-1050,"Canterbury, Christ Church",Folio 93,Spear,V,Xtn (BF),ThS,BB,n/a,Skt,R,HFwd,
"London, British Library MS Arundel 155, fols. 1-135, 171-191: Eadui or Arundel Psalter, Calendar etc.",Illuminated Manuscript,Anglo-Saxon,1000-1050,"Canterbury, Christ Church",Folio 93,Sword,V,Xtn (BF),TLP,SG,SG,Full,R,HFwd,?Inscribed blade
"London, British Library MS Stowe 944: New Minster Register (Liber Vitae)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"Winchester, New Minster",Folio 6,Sword,P (W),El (R),TLP,SG,SG,n/a,L,Rev,
"Oxford, Bodleian Library MS Douce 296 (S. C. 21870): Psalter",Illuminated Manuscript,Anglo-Saxon,1025-1075,?Crowland,Folio 40,Spear,V,Xtn (Chr),SLS,BB,Lug,n/a,R,Rev,Dec butt
"Oxford, Bodleian Library MS Douce 296 (S. C. 21870): Psalter",Illuminated Manuscript,Anglo-Saxon,1025-1075,?Crowland,Folio 40v,Sword,V,Xtn (St),HP,n/v,SG,n/a,R,Up,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 32,Sword,R,Xtn (G),HP,CG?,CG,n/a,R,Rev,Presented; Gold
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 36,Spear,R,Xtn (G),SLS,BB,Lug,n/a,R,Up,Presented
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 37v,Spear,P (H),Xtn (Chr),SLS,BB,Lug,n/a,R,Up,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 87v,Sword,P (H),El (R),n/v,n/v,n/v,n/a,L,Up,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 87v,Spear,V,W,SLS,BB,Lug,n/a,R,Up,Dec head
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 87v,Sword,V,W,HP,SG,CG,n/a,R,Rev,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 87v,Sword,Ent,El (R),TLP,SG,n/v,n/a,R,Up,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 88,Sword,Ent,Xtn (Chr),TLP,CGPr,CG,n/a,R,Up,LG curves wrong way
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 98,Spear,V,Xtn (Chr),SLS,n/v,n/a,n/a,R,Rev,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 109,Sword,P (H),Xtn (BF),TLP,SG,CG?,n/a,L,Up,
"Rome, Vatican City, Biblioteca Apostolica, Vaticana MS Reg.Lat.12: Bury Psalter (Calendar, etc.)",Illuminated Manuscript,Anglo-Saxon,1000-1050,"?Canterbury, Christ Church; Bury St Edmunds",Folio 109,Spear,P (H),Xtn (BF),SLS,BB,Lug,n/a,L,Up,Curling lugs; ball
"Paris, Bibliothèque Nationale MS Lat. 8824: Psalter",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Christ Church, Canterbury",Folio 1v,Spear,Ent,Xtn (G),SLS,BB,n/a,n/a,R,Up,Spear-banner
"Paris, Bibliothèque Nationale MS Lat. 8824: Psalter",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Christ Church, Canterbury",Folio 4,Sword,V,W,HP,n/a,n/a,n/a,R,HFwd,Leaf blade
"Paris, Bibliothèque Nationale MS Lat. 8824: Psalter",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Christ Church, Canterbury",Folio 4,Spear,V,W,SLS,BB,n/a,n/a,R,HFwd,
"London, British Library MS Cotton Claudius B.IV: Ælfric, Hexateuch etc.",Illuminated Manuscript,Anglo-Saxon,1000-1050,"Canterbury, St Augustine's",Folio 8,Sword,P (H),Xtn (A),n/v,SG,n/v,n/a,Bth,Up,'Flaming' blade
"London, British Library MS Cotton Caligula A. XIV, fols. 1-36: Hereford Troper",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Canterbury, Christ Church",Folio 20v,Spear,R,Man,U,U,U,U,U,Up,
"London, British Library MS Cotton Caligula A. XIV, fols. 1-36: Hereford Troper",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Canterbury, Christ Church",Folio 22,Spear,P (H),Wk (G),SLS,LozB,n/a,Skt,n/a,Rev,Propped; lge head re. body
"London, British Library MS Cotton Caligula A. XIV, fols. 1-36: Hereford Troper",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Canterbury, Christ Church",Folio 22,Sword,P (H),Xtn (A),n/v,n/v,n/a,n/a,R,Up,Damaged illustration
"London, British Library MS Cotton Caligula A. XIV, fols. 1-36: Hereford Troper",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Canterbury, Christ Church",Folio 25,Sword,Ent,El (R),n/a,SG,SG,n/a,L,Hzt,
"London, British Library MS Cotton Caligula A. XIV, fols. 1-36: Hereford Troper",Illuminated Manuscript,Anglo-Saxon,1025-1075,"?Canterbury, Christ Church",Folio 25,Sword,V (Ex),Wk (Ex),n/a,SG,SG,n/a,L,Up,
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 8v,Sword,V,Xtn (BF),TLP,CG,n/v,n/a,R,HFwd,Black hilt
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 8v,Spear,V,Xtn (BF),SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 9,Spear,V,Xtn (BF),SLS,BB,Lug,Skt,R,HFwd,
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 9,Sword,V,Xtn (BF),BNut,CG,CG,n/a,L,n/a,Sheathed; sword-belt; guard / pommel with dots
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 10v,Sword,Tr,None,BNut,CG,CG,n/a,n/a,n/a,Sheathed w/ tassels; dotting
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 12v,Sword,Ent,El (R?),BNut,CGPr,CG,n/a,L,Up,Detailed; Petersen Type Z?; yellow guards
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 13,Spear,V,W,SLS,LozB,Lug,Skt,R,Up,Sml proportion
"London, British Library MS Cotton Tiberius C. VI: Tiberius Psalter (Psalter with Collects; Homily etc.)",Illuminated Manuscript,Anglo-Saxon,1025-1075,"Winchester, Old Minster (Cathedral)",Folio 16,Spear,V,Xtn (St),SLS,BB,Lug,n/a,R,HFwd,
"Cambridge, Trinity College MC 0. 2. 51 (1155) part II: Priscian, Grammar",Illuminated Manuscript,Anglo-Saxon,1050-1100,"Canterbury, St Augustine's; Christ Church",Folio 59,Sword,V,Xtn (St?),n/v,SG,n/v,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Xtn (A),SLS,n/v,n/v,n/a,R,HFwd,Fittings on butt end?
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,V,Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,P (H),W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,P (H),W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,P (H),El (H),SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,P (H),Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 2v,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,Ent,Xtn (G),SLS,n/v,n/v,n/a,R,Vtl,Or staff?
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V,Xtn (D),SLS,n/v,n/v,n/a,Bth,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V,Xtn (D),SLS,n/v,n/v,n/a,Bth,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V,Xtn (D),SLS,n/v,n/v,n/a,Bth,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V,Xtn (D),SLS,n/v,n/v,n/a,Bth,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V,Xtn (D),SLS,n/v,n/v,n/a,Bth,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 3v,Spear,V?,Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,V,Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,V,Man,SLS,BB,Lug,n/a,R,Up,Spare
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,V,Man,SLS,BB,Lug,n/a,R,Up,Spare
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,V,Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Sword,P (H),Xtn (G),RP,CG?,n/v,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 4,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
